이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
이영하,40,0,0,17,10,3,0,2,122.2,75,72,555,140,28,5,15,54,1,9,90,0,8,5.28,5.47,1.58,95.7,92.1,1.33
김승회,55,0,0,0,3,4,3,11,54.2,26,21,242,54,11,0,6,23,1,5,34,0,3,3.46,5.50,1.41,146.2,91.9,1.23
김강률,65,0,0,0,5,0,6,11,76.0,42,39,317,72,10,0,7,24,1,3,81,0,6,4.62,3.93,1.26,109.4,128.3,1.05
박신지,17,0,0,0,1,2,0,0,21.0,7,7,88,14,3,0,4,9,0,1,16,0,3,3.00,6.21,1.10,168.5,80.3,0.61
이현승,39,0,0,0,1,0,0,6,30.2,18,17,140,39,9,2,4,14,1,1,21,0,0,4.99,5.53,1.73,101.3,91.0,0.35
김정후,13,0,0,0,0,1,0,0,17.1,8,7,75,12,3,0,3,12,0,1,12,0,0,3.63,6.95,1.39,139.1,72.3,0.35
이현호,15,0,0,2,0,0,1,0,28.0,19,19,134,37,6,0,4,13,0,1,23,0,1,6.11,5.55,1.79,82.8,90.4,0.27
홍상삼,17,0,0,0,1,0,0,0,14.2,7,7,66,13,3,1,1,12,1,2,13,0,5,4.30,5.61,1.71,117.7,90.8,0.25
강동연,8,0,0,0,1,0,0,0,11.2,8,7,49,10,2,0,2,5,0,0,5,0,0,5.40,6.49,1.29,93.6,77.2,0.04
한주성,3,0,0,0,0,0,0,0,4.0,3,3,22,8,1,0,0,1,0,1,1,0,0,6.75,4.83,2.25,74.9,107.3,0.01
유재유,5,0,0,1,0,1,0,0,6.1,5,5,34,11,2,0,1,3,0,3,5,0,2,7.11,7.15,2.21,71.1,70.5,-0.02
박성모,2,0,0,0,0,1,0,0,2.0,2,2,11,4,0,0,1,0,0,1,1,0,0,9.00,10.83,2.00,56.2,45.2,-0.04
현도훈,3,0,0,1,0,1,0,0,8.2,7,7,42,11,1,0,2,6,0,1,5,0,2,7.27,8.10,1.96,69.5,61.7,-0.06
김민규,1,0,0,0,0,0,0,0,0.1,2,2,4,1,0,0,0,2,0,0,0,0,0,54.00,21.83,9.00,9.4,23.5,-0.07
장민익,3,0,0,0,0,0,0,0,2.0,6,6,14,5,0,0,3,2,0,1,2,0,0,27.00,25.83,3.50,18.7,18.7,-0.21
변시원,10,0,0,0,0,0,0,0,10.2,12,12,52,16,5,0,2,2,0,4,8,1,0,10.13,6.46,1.69,49.9,77.5,-0.24
허준혁,1,0,0,1,0,1,0,0,1.2,5,5,12,4,1,0,0,3,0,0,1,0,0,27.00,8.03,4.20,18.7,64.1,-0.28
곽빈,32,0,0,0,3,1,1,4,31.0,26,26,154,44,10,0,6,17,0,3,26,0,0,7.55,6.61,1.97,67.0,75.6,-0.36
최원준,6,0,0,0,0,0,0,0,9.1,16,11,56,22,5,0,2,0,0,5,5,0,0,10.61,7.15,2.36,47.7,69.9,-0.43
최대성,8,0,0,0,0,0,0,0,10.0,13,13,52,15,3,0,3,8,1,0,10,0,1,11.70,7.83,2.30,43.2,63.1,-0.44
알칸타라,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,2.54,3.10,1.03,182.4,149.5,8.29
플렉센,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14,0,6,30,2,2,132,0,5,3.01,2.73,1.09,153.8,169.4,3.49
최원준,42,0,0,18,10,2,0,0,123.0,52,52,532,134,23,3,15,35,0,7,94,1,2,3.80,4.64,1.37,121.6,98.9,3.05
이영하,42,0,0,19,5,11,6,0,132.0,78,68,605,148,26,1,9,66,3,5,85,1,4,4.64,4.70,1.62,99.8,99.0,1.99
박치국,63,0,0,0,4,4,0,6,71.2,34,23,317,65,12,2,5,34,4,5,66,0,1,2.89,4.09,1.38,160.2,113.3,1.41
함덕주,36,0,0,6,5,1,10,2,55.1,25,24,240,55,7,0,2,21,2,0,55,0,7,3.90,3.07,1.37,118.6,152.1,1.31
홍건희,50,0,0,0,3,4,1,8,56.2,31,30,251,63,12,1,5,20,0,5,51,0,3,4.76,4.23,1.47,97.1,109.2,0.82
김민규,29,0,0,4,1,2,1,0,53.1,30,29,231,47,14,0,3,22,2,3,54,0,1,4.89,3.56,1.29,94.6,130.4,0.62
채지선,37,0,0,0,1,0,0,2,33.0,18,18,158,34,3,1,3,24,1,5,34,0,11,4.91,5.22,1.76,94.3,88.5,0.44
김명신,16,0,0,0,0,1,0,0,15.1,6,6,72,20,4,0,3,4,0,3,11,0,0,3.52,6.03,1.57,131.4,75.3,0.37
윤명준,42,0,0,0,0,0,2,7,40.0,24,22,180,49,6,1,4,12,1,1,20,0,1,4.95,4.76,1.53,93.5,97.1,0.37
이승진,33,0,0,5,2,4,0,5,51.1,33,32,228,55,12,2,3,22,1,2,54,0,0,5.61,3.56,1.50,82.5,130.4,0.37
이현승,62,0,0,0,2,1,2,9,42.1,27,25,195,48,9,2,2,21,0,2,42,1,3,5.31,3.82,1.63,87.1,122.2,0.22
박종기,8,0,0,5,1,2,0,0,26.0,16,16,117,30,6,0,3,14,0,0,20,0,1,5.54,5.13,1.69,83.6,89.7,0.19
유희관,27,0,0,27,10,11,0,0,136.1,91,76,622,190,37,5,14,39,4,3,56,0,1,5.02,4.91,1.68,92.2,94.2,0.14
권휘,14,0,0,0,0,1,0,1,13.2,8,8,63,16,2,0,1,6,0,2,10,0,2,5.27,4.80,1.61,87.8,96.8,0.12
최세창,3,0,0,0,0,0,0,0,3.0,2,1,15,5,0,0,1,0,0,0,1,0,0,3.00,7.22,1.67,154.3,62.0,0.02
배창현,1,0,0,0,0,0,0,0,0.1,0,0,3,0,0,0,0,2,0,0,0,0,0,0.00,21.56,6.00,,21.8,0.01
이동원,1,0,0,0,0,0,0,0,0.0,2,2,2,0,0,0,0,2,0,0,0,0,0,,,,,,0.00
이주엽,4,0,0,0,0,0,0,0,3.1,3,3,19,3,1,0,0,7,0,0,2,0,1,8.10,8.66,3.00,57.1,54.5,-0.01
이교훈,5,0,0,0,0,0,0,0,4.1,6,5,24,6,2,0,1,4,0,0,3,0,1,10.38,7.94,2.31,44.6,57.5,-0.13
박신지,2,0,0,0,0,0,0,0,3.0,6,6,18,9,3,1,0,1,0,0,3,0,1,18.00,2.56,3.33,25.7,185.8,-0.15
김강률,30,0,0,0,2,2,0,0,28.0,22,11,141,36,6,2,1,20,0,4,28,0,0,3.54,4.59,2.00,130.9,101.9,-0.18
문대원,4,0,0,0,0,0,0,0,5.2,9,6,30,12,3,0,2,2,0,0,0,0,0,9.53,9.20,2.47,48.6,49.1,-0.21
조제영,4,0,0,1,0,1,0,0,6.0,7,7,31,6,1,0,1,7,0,1,6,0,1,10.50,7.72,2.17,44.1,59.6,-0.22
옥스프링,31,3,0,31,12,10,0,0,185.0,104,92,806,200,33,0,23,66,0,10,142,0,5,4.48,4.93,1.44,112.3,99.2,3.68
조무근,43,0,0,1,8,5,4,2,71.2,26,15,298,54,11,2,3,32,1,4,83,0,6,1.88,3.31,1.20,266.8,151.0,2.73
장시환,47,0,0,0,7,5,12,0,74.2,33,33,308,73,13,2,1,28,2,1,75,0,6,3.98,2.87,1.35,126.3,174.9,2.42
저마노,15,0,0,14,3,6,0,1,76.2,46,42,347,111,17,2,7,15,0,3,40,0,1,4.93,4.46,1.64,101.9,109.4,1.58
정대현,30,0,0,26,5,11,0,0,118.0,80,68,542,138,26,1,19,62,0,4,82,0,6,5.19,6.00,1.70,96.9,81.4,1.10
김재윤,42,0,0,0,1,2,0,6,44.2,23,21,188,46,9,0,3,12,2,1,70,0,1,4.23,2.09,1.30,118.8,240.5,1.02
홍성용,39,0,0,0,0,4,0,9,37.1,18,16,164,36,8,1,3,13,2,5,30,0,1,3.86,4.34,1.31,130.3,113.6,0.99
최원재,36,0,0,0,2,1,0,3,33.0,16,14,148,43,2,3,2,12,1,3,24,0,1,3.82,4.22,1.67,131.6,116.9,0.81
홍성무,23,0,0,0,0,1,0,0,28.0,15,15,121,31,4,0,5,9,0,1,22,0,0,4.82,5.44,1.43,104.2,89.4,0.51
고영표,46,0,0,0,3,4,0,0,57.0,41,36,266,68,13,0,2,19,1,16,57,0,3,5.68,3.86,1.53,88.4,129.0,0.38
윤근영,17,0,0,7,1,4,0,2,32.0,23,20,155,35,2,1,3,21,0,4,21,0,4,5.63,5.87,1.75,89.3,84.0,0.28
박세웅,6,0,0,6,0,4,0,0,28.0,19,18,127,30,4,1,6,17,1,2,17,0,2,5.79,7.12,1.68,86.9,68.4,0.27
엄상백,28,0,0,22,5,6,0,0,100.0,77,74,465,127,30,1,15,50,0,10,78,1,6,6.66,5.81,1.77,75.5,84.2,0.23
배우열,12,0,0,0,0,0,0,1,16.0,10,10,70,21,2,2,2,4,0,0,17,0,2,5.63,3.87,1.56,89.3,126.5,0.13
김민수,15,0,0,1,0,1,0,1,23.1,18,15,115,30,6,1,1,13,0,1,18,1,5,5.79,4.43,1.84,86.9,112.0,0.12
김기표,14,0,0,0,0,0,0,0,10.1,7,7,43,11,2,0,2,2,0,1,6,1,1,6.10,5.84,1.26,82.4,82.9,0.09
안현준,13,0,0,0,0,0,0,0,16.0,13,9,84,23,3,1,1,12,0,1,25,0,2,5.06,3.74,2.19,99.3,134.4,0.06
심재민,50,0,0,1,2,3,0,1,56.1,45,43,270,68,11,0,3,41,3,7,29,0,9,6.87,5.68,1.94,73.2,87.3,0.03
황덕균,3,0,0,0,0,0,0,0,3.2,3,3,16,0,0,0,0,5,0,0,2,0,0,7.36,6.62,1.36,68.2,75.7,0.01
이준형,1,0,0,0,0,0,0,0,2.0,2,2,12,4,0,0,1,2,0,0,2,0,2,9.00,11.12,3.00,55.8,43.4,-0.01
최대성,5,0,0,0,0,0,0,0,1.1,3,3,12,4,3,0,1,4,0,0,0,0,2,20.25,22.37,6.00,24.8,21.6,-0.11
이성민,11,0,0,0,0,2,0,0,12.2,12,11,66,21,1,1,4,7,1,0,9,0,0,7.82,7.72,2.21,64.3,62.6,-0.19
이윤학,2,0,0,0,0,0,0,0,3.0,8,8,20,9,3,0,2,2,0,0,4,0,0,24.00,11.62,3.67,20.9,41.2,-0.21
이창재,38,0,0,0,0,1,0,3,33.0,30,25,151,38,8,0,8,12,1,2,32,0,3,6.82,6.01,1.52,73.7,80.7,-0.24
시스코,17,0,0,5,0,6,0,2,39.0,34,27,185,43,4,2,5,25,1,4,42,0,11,6.23,5.28,1.74,80.7,93.3,-0.28
주권,28,1,1,26,6,8,0,0,134.0,80,76,594,162,36,3,14,44,0,5,63,1,2,5.10,5.31,1.54,102.4,98.1,2.67
피어밴드,12,0,0,11,2,6,0,0,71.1,37,33,314,92,17,0,5,20,0,6,62,3,3,4.16,4.06,1.57,125.5,128.8,1.79
마리몬,12,0,0,12,6,4,0,0,62.0,38,36,275,60,13,2,3,29,0,6,45,0,8,5.23,4.66,1.44,100.0,112.0,1.06
김재윤,52,0,0,0,8,1,14,1,54.1,31,30,235,61,13,0,6,15,0,1,73,0,3,4.97,3.42,1.40,105.2,154.1,1.02
배우열,36,0,0,0,1,1,1,4,40.1,21,18,175,47,13,1,2,18,0,0,29,0,5,4.02,4.34,1.61,130.1,120.5,0.84
밴와트,28,0,0,27,6,13,0,0,134.2,103,89,614,172,27,4,21,49,0,4,92,0,6,5.95,5.63,1.64,87.9,92.6,0.77
이창재,47,0,0,0,3,1,1,2,40.1,24,23,182,48,6,3,6,15,0,2,38,0,3,5.13,5.11,1.56,101.8,102.4,0.62
심재민,59,0,0,0,2,3,0,7,54.1,36,33,255,75,12,2,4,24,0,5,30,0,1,5.47,5.25,1.82,95.6,99.3,0.53
고영표,53,0,0,0,2,4,0,5,56.1,38,35,260,65,9,4,6,19,0,10,62,1,0,5.59,4.52,1.49,93.5,115.8,0.47
박세진,7,0,0,3,0,2,0,0,21.0,13,12,94,24,4,0,5,13,0,0,8,0,2,5.14,7.98,1.76,101.6,65.2,0.36
로위,14,0,0,13,3,6,0,0,60.0,46,42,295,74,11,0,6,39,0,5,68,1,8,6.30,5.03,1.88,82.9,104.3,0.30
김사율,25,0,0,0,0,1,1,1,30.1,20,18,143,29,6,1,4,17,2,2,27,0,3,5.34,5.41,1.52,97.8,97.2,0.30
홍성용,67,0,0,0,2,2,2,12,46.1,32,31,221,66,7,3,8,19,0,4,33,0,0,6.02,6.10,1.84,86.8,85.4,0.29
안상빈,11,0,0,0,0,0,0,0,12.0,8,8,57,11,4,0,2,9,0,2,12,0,1,6.00,6.71,1.67,87.1,77.9,0.13
홍성무,8,0,0,0,0,0,0,0,9.0,6,4,40,11,3,1,2,1,0,0,12,0,0,4.00,4.35,1.33,130.6,121.0,0.10
김민수,7,0,0,0,0,0,1,0,8.0,6,6,41,14,1,0,1,3,0,0,6,0,1,6.75,5.04,2.13,77.4,103.6,0.04
정성곤,28,0,0,9,0,7,0,0,66.1,52,43,304,72,16,1,4,33,1,6,46,2,3,5.83,4.91,1.58,89.6,106.5,-0.01
채선관,1,0,0,0,0,0,0,0,0.1,1,1,4,2,0,0,0,2,0,0,0,0,0,27.00,21.79,12.00,19.4,23.9,-0.03
윤근영,3,0,0,0,0,0,0,0,4.0,6,3,25,6,2,0,0,5,0,1,1,0,0,6.75,7.79,2.75,77.4,66.7,-0.10
최원재,10,0,0,0,0,0,0,0,9.1,9,9,43,12,3,1,1,4,0,0,11,0,0,8.68,4.11,1.71,60.2,127.7,-0.11
류희운,5,0,0,0,0,0,0,0,8.1,10,10,40,13,3,1,1,3,0,0,3,0,0,10.80,5.71,1.92,48.4,91.1,-0.11
엄상백,52,0,0,6,1,5,1,8,73.1,61,55,345,93,23,2,8,40,1,4,57,0,5,6.75,5.42,1.81,77.4,96.5,-0.13
이상화,16,0,0,0,0,0,0,0,32.2,32,29,160,55,15,0,7,10,0,0,24,0,1,7.99,6.03,1.99,65.4,86.5,-0.19
장시환,40,0,0,7,3,12,6,3,75.1,62,53,365,93,24,2,7,43,5,9,67,0,11,6.33,5.09,1.81,82.5,103.2,-0.30
피노,12,0,0,8,2,3,0,1,39.0,36,31,191,62,11,1,4,15,0,4,23,0,3,7.15,5.41,1.97,73.0,96.3,-0.38
피어밴드,26,1,1,26,8,10,0,0,160.0,67,54,657,153,19,4,20,31,0,7,132,0,4,3.04,4.42,1.15,167.0,112.8,5.34
고영표,25,2,1,24,8,12,0,1,141.2,84,80,612,170,32,1,13,16,0,18,125,1,6,5.08,3.88,1.31,99.8,128.4,2.52
로치,28,1,0,28,4,15,0,0,165.0,106,86,743,200,33,3,18,60,0,13,99,1,10,4.69,5.28,1.58,108.1,94.4,2.28
이상화,70,0,0,0,4,3,6,4,66.0,32,29,277,68,12,1,4,16,3,4,57,1,4,3.95,3.57,1.27,128.3,140.6,1.80
엄상백,52,0,0,0,1,3,0,8,52.0,28,24,229,48,8,0,3,22,1,4,39,0,1,4.15,4.43,1.35,122.1,112.7,1.21
심재민,64,0,0,2,1,7,0,13,74.2,48,43,344,86,12,1,11,31,2,4,69,1,4,5.18,5.13,1.57,97.9,97.5,1.14
장시환,5,0,0,0,1,0,0,2,6.1,1,1,26,5,1,0,0,3,0,0,6,0,1,1.42,3.26,1.26,357.0,152.7,0.43
윤근영,12,0,0,0,0,0,0,1,18.0,9,7,78,23,2,0,4,5,0,0,11,0,2,3.50,6.24,1.56,144.9,80.0,0.42
김재윤,41,0,0,0,3,5,15,0,37.1,25,24,161,41,6,4,1,11,3,1,31,0,1,5.79,3.15,1.39,87.7,160.4,0.40
홍성용,37,0,0,1,0,2,0,1,39.0,27,27,176,44,8,0,7,17,1,3,22,0,2,6.23,6.40,1.56,81.4,78.0,0.37
주권,39,0,0,12,5,6,1,3,81.2,64,60,379,101,25,3,15,31,0,6,47,0,4,6.61,6.33,1.62,76.7,78.7,0.30
김도영,1,0,0,0,0,0,0,0,1.0,0,0,4,1,0,0,0,0,0,0,0,0,0,0.00,3.74,1.00,,133.4,0.05
이종혁,16,0,0,0,2,0,0,0,19.0,16,14,97,25,4,1,3,10,0,5,10,0,1,6.63,7.10,1.84,76.5,70.1,0.01
조무근,16,0,0,0,0,0,0,3,14.2,13,12,70,21,6,1,2,3,0,1,9,0,3,7.36,5.10,1.64,68.9,97.8,0.00
강장산,12,0,0,0,0,0,0,0,15.0,14,14,72,18,3,0,3,10,0,3,10,0,1,8.40,7.60,1.87,60.4,65.5,-0.06
배제성,21,0,0,1,0,0,0,0,32.0,32,31,162,46,7,0,4,23,0,2,21,0,11,8.72,6.39,2.16,58.2,77.9,-0.08
최원재,4,0,0,0,1,0,0,0,2.0,3,3,12,6,0,0,1,1,0,1,2,0,0,13.50,11.24,3.50,37.6,44.4,-0.10
조근종,1,0,0,0,0,0,0,0,2.0,5,5,13,6,1,0,1,1,0,0,5,0,0,22.50,6.74,3.50,22.5,74.4,-0.12
김사율,19,0,0,5,3,3,0,2,34.2,30,28,165,51,11,1,7,8,0,1,28,0,0,7.27,5.52,1.70,69.8,90.3,-0.14
박세진,4,0,0,3,0,2,0,0,11.1,12,12,56,16,5,0,0,6,0,2,8,0,4,9.53,4.44,1.94,53.2,111.9,-0.21
배우열,26,0,0,0,0,2,0,3,34.1,33,33,177,58,18,3,7,9,0,4,33,0,3,8.65,5.60,1.95,58.6,89.1,-0.21
홍성무,7,0,0,0,0,1,0,0,6.1,9,9,35,11,3,0,1,6,0,0,4,0,0,12.79,7.37,2.68,39.7,67.6,-0.26
정대현,12,0,0,8,2,7,0,0,53.1,47,44,251,76,12,1,11,19,1,2,21,0,2,7.43,6.75,1.78,68.3,73.9,-0.34
류희운,24,0,0,14,4,4,0,0,81.0,72,69,395,99,24,2,18,53,0,8,52,1,5,7.67,7.60,1.88,66.2,65.6,-0.45
정성곤,26,0,0,20,3,12,0,0,107.2,99,97,511,151,31,1,20,41,0,6,72,1,8,8.11,6.12,1.78,62.6,81.4,-1.13
니퍼트,29,0,0,28,8,8,0,0,175.2,88,83,765,209,33,4,26,39,2,9,165,0,9,4.25,4.66,1.41,124.6,111.4,4.76
피어밴드,27,1,0,26,8,8,0,0,163.1,90,78,707,186,27,1,24,38,0,6,141,0,5,4.30,4.83,1.37,123.3,107.7,3.79
금민철,29,0,0,29,8,12,0,0,156.1,104,94,720,212,30,1,19,68,1,7,79,0,10,5.41,5.82,1.79,97.9,89.2,1.91
고영표,25,3,1,23,6,9,0,0,142.0,91,81,620,175,27,4,17,25,1,14,134,1,2,5.13,4.31,1.41,103.2,120.6,1.82
김재윤,62,0,0,0,7,5,15,0,61.0,34,31,271,76,10,1,11,15,4,1,66,0,3,4.57,4.60,1.49,115.9,113.2,1.39
정성곤,24,0,0,0,1,0,0,5,24.1,8,8,104,23,1,0,3,11,0,0,23,0,0,2.96,4.90,1.40,179.1,106.2,0.98
이종혁,47,0,0,0,0,5,1,4,48.1,28,25,215,61,8,0,4,17,3,2,31,0,2,4.66,4.62,1.61,113.8,112.8,0.87
홍성용,56,0,0,0,2,1,1,6,45.0,28,27,202,49,14,1,7,16,0,5,42,0,2,5.40,5.39,1.44,98.1,96.3,0.69
류희운,29,0,0,2,1,1,0,1,44.0,25,24,195,53,11,0,11,14,0,2,28,0,3,4.91,6.90,1.52,107.9,75.1,0.68
심재민,44,0,0,0,4,5,2,3,41.0,25,21,179,47,5,2,5,17,3,2,36,0,4,4.61,4.83,1.56,115.0,107.8,0.64
이상화,11,0,0,0,0,0,2,3,10.1,3,3,43,6,1,1,0,5,0,1,14,0,2,2.61,2.87,1.07,202.8,182.3,0.54
김민,9,0,0,9,4,2,0,0,37.1,26,21,178,40,10,0,4,25,0,6,25,0,5,5.06,6.38,1.74,104.7,81.4,0.35
김사율,29,0,0,3,1,2,0,0,45.1,32,29,204,56,14,1,12,10,1,2,35,0,4,5.76,6.46,1.46,92.0,80.3,0.34
고창성,42,0,0,0,2,0,0,5,37.2,29,28,183,57,7,0,7,11,1,5,23,0,1,6.69,6.22,1.81,79.2,83.3,0.18
엄상백,55,0,0,0,1,8,2,12,46.1,33,28,211,51,9,1,4,17,5,8,44,0,3,5.44,4.35,1.47,97.4,119.7,0.17
배우열,5,0,0,0,0,0,0,0,5.2,2,1,28,7,1,0,0,3,0,0,9,0,0,1.59,2.25,1.77,333.6,234.8,0.15
배제성,3,0,0,0,0,0,0,0,4.0,1,0,17,3,2,0,0,1,0,0,2,0,0,0.00,3.58,1.00,,145.5,0.11
김태오,8,0,0,4,1,2,0,0,21.0,16,14,102,32,7,1,4,9,0,2,14,0,0,6.00,6.55,1.95,88.3,79.2,0.10
김민수,2,0,0,0,0,0,0,0,1.0,1,1,4,1,0,0,0,1,0,0,1,0,0,9.00,4.83,2.00,58.9,108.2,-0.00
최건,2,0,0,0,0,0,0,0,2.0,3,3,13,5,1,0,0,2,0,0,2,0,0,13.50,4.83,3.50,39.3,108.2,-0.05
신병률,21,0,0,1,0,0,1,2,25.2,22,20,120,35,10,1,6,7,0,3,14,0,1,7.01,6.95,1.64,75.6,74.5,-0.06
김용주,1,0,0,1,0,0,0,0,2.0,4,4,13,5,0,0,1,2,0,0,2,0,0,18.00,11.33,3.50,29.4,45.8,-0.18
윤근영,17,0,0,0,1,0,0,0,16.2,19,18,86,26,5,0,3,10,1,0,17,0,0,9.72,5.75,2.16,54.5,90.6,-0.46
박세진,8,0,0,8,1,5,0,0,30.1,37,36,156,47,15,0,10,19,2,2,24,0,3,10.68,8.42,2.18,49.6,61.7,-0.94
주권,46,0,0,10,3,9,0,4,88.0,85,82,407,118,24,4,16,27,1,7,54,0,4,8.39,6.09,1.65,63.2,85.1,-1.03
쿠에바스,30,0,0,30,13,10,0,0,184.0,80,74,760,153,21,6,18,63,0,12,135,0,4,3.62,4.43,1.17,115.1,93.1,3.58
알칸타라,27,1,0,27,11,11,0,0,172.2,80,77,724,189,39,3,15,27,0,8,100,2,2,4.01,3.98,1.25,103.8,103.7,2.74
배제성,28,1,1,21,10,10,0,0,131.2,58,55,564,132,18,3,6,56,0,3,91,0,10,3.76,3.96,1.43,110.8,104.8,2.30
주권,71,0,0,0,6,2,2,25,75.1,25,25,296,64,15,0,7,14,0,2,47,0,1,2.99,4.00,1.04,139.5,103.2,2.14
김재윤,43,0,0,0,2,2,7,9,47.2,13,12,177,27,3,0,4,12,2,1,42,0,1,2.27,3.42,0.82,183.9,120.8,1.72
전유수,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122.8,129.3,0.93
김대유,21,0,0,0,0,0,0,0,27.0,7,7,111,21,6,0,1,12,1,4,23,0,0,2.33,3.85,1.22,178.6,107.8,0.70
이대은,44,0,0,8,4,2,17,0,86.0,48,40,391,89,17,1,10,39,1,6,59,0,5,4.19,5.08,1.49,99.5,81.2,0.67
김민,27,0,0,26,6,12,0,0,150.2,88,83,674,175,26,4,16,65,0,4,91,2,4,4.96,4.95,1.59,84.0,83.3,0.58
김민수,28,0,0,11,8,5,2,1,81.2,46,45,354,87,12,3,10,30,2,2,56,0,4,4.96,4.73,1.43,84.0,87.2,0.51
하준호,8,0,0,0,0,0,0,0,8.0,1,1,33,4,0,0,1,4,0,0,11,0,1,1.13,3.78,1.00,370.4,108.9,0.28
이종혁,5,0,0,0,0,0,0,0,5.1,1,1,25,6,1,1,0,3,0,1,4,0,0,1.69,4.15,1.69,246.9,100.0,0.16
조현우,7,0,0,0,0,0,0,0,7.2,3,3,35,6,2,0,0,5,0,1,9,0,2,3.52,3.40,1.44,118.3,122.2,0.13
조한욱,2,0,0,0,0,0,0,0,2.2,1,1,12,4,0,0,0,1,0,0,0,0,0,3.38,4.53,1.88,123.5,92.1,0.05
강백호,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0.00,6.40,1.00,,64.9,0.04
이선우,3,0,0,0,0,0,0,0,1.2,1,1,7,1,0,0,1,1,0,0,2,0,0,5.40,10.60,1.20,77.2,38.3,0.01
최건,1,0,0,0,0,0,0,0,1.0,1,0,4,0,0,0,0,2,0,0,0,0,0,0.00,9.40,2.00,,44.1,-0.02
조근종,10,0,0,0,0,0,0,1,10.2,7,7,53,15,2,0,1,5,1,2,6,0,0,5.91,5.18,1.88,70.6,79.8,-0.06
김태오,4,0,0,0,0,0,0,0,3.0,3,2,21,7,0,0,0,3,0,1,0,1,0,6.00,7.40,3.33,69.4,56.0,-0.08
손동현,34,0,0,3,2,3,0,5,47.1,29,25,220,51,7,0,2,31,3,0,29,1,0,4.75,4.50,1.73,87.7,92.3,-0.17
금민철,14,0,0,14,1,4,0,0,57.0,38,32,263,66,7,1,5,25,0,7,26,0,4,5.05,5.31,1.60,82.5,77.7,-0.17
전용주,4,0,0,0,0,0,0,0,3.0,6,5,21,6,1,0,1,6,0,0,1,0,1,15.00,13.07,4.00,27.8,31.4,-0.20
류희운,1,0,0,1,0,1,0,0,2.1,6,6,17,8,2,0,0,2,0,0,1,0,2,23.14,5.12,4.29,18.0,81.3,-0.35
이정현,9,0,0,2,0,2,0,0,12.0,13,13,55,12,4,0,3,8,0,0,9,0,0,9.75,7.15,1.67,42.7,57.3,-0.36
이상동,6,0,0,0,0,0,0,0,6.1,10,10,30,10,4,0,2,2,0,1,0,0,0,14.21,8.93,1.90,29.3,45.8,-0.39
데스파이네,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36,1,18,68,1,8,152,0,18,4.33,4.30,1.45,110.6,110.7,3.18
배제성,26,0,0,26,10,7,0,0,141.1,67,62,619,130,30,1,12,76,0,4,83,1,11,3.95,5.18,1.46,121.5,91.8,2.63
쿠에바스,27,0,0,27,10,8,0,0,158.0,80,72,668,152,26,1,16,46,0,9,110,0,4,4.10,4.52,1.25,116.9,105.1,2.61
주권,77,0,0,0,6,2,0,31,70.0,25,21,294,54,11,0,6,32,1,1,37,0,0,2.70,4.98,1.23,177.6,95.5,2.58
소형준,26,0,0,24,13,6,0,0,133.0,63,57,572,141,23,0,6,45,0,6,92,0,2,3.86,3.91,1.40,124.3,122.1,2.35
김재윤,56,0,0,0,5,3,21,1,60.2,23,22,256,62,4,2,7,15,3,0,58,0,0,3.26,3.74,1.27,146.9,127.9,2.18
조현우,54,0,0,0,5,1,1,9,46.2,16,16,196,38,8,1,1,22,1,1,33,0,3,3.09,3.83,1.29,155.4,124.9,1.76
이보근,49,0,0,0,3,1,6,9,46.2,17,13,192,42,5,0,2,12,1,2,27,0,3,2.51,3.79,1.16,191.3,125.9,1.45
유원상,62,0,0,0,2,1,2,9,64.0,32,27,271,52,12,0,8,28,1,1,37,0,5,3.80,5.34,1.25,126.3,89.0,1.11
전유수,47,0,0,0,5,4,2,3,45.2,26,26,200,46,7,1,3,21,5,3,27,0,1,5.12,4.48,1.47,93.6,106.7,0.52
이상화,18,0,0,0,1,1,0,1,15.0,9,9,65,11,2,0,2,10,2,0,7,0,1,5.40,5.96,1.40,88.8,80.0,0.15
손동현,23,0,0,0,0,0,0,1,20.1,14,12,91,21,5,0,5,10,1,0,12,0,3,5.31,6.90,1.53,90.3,68.6,0.06
김성훈,3,0,0,0,0,0,0,0,3.0,1,1,13,1,0,0,0,4,0,0,3,0,0,3.00,5.56,1.67,159.8,86.3,0.05
이강준,4,0,0,0,0,0,0,0,5.2,4,4,33,9,1,1,1,5,0,3,3,0,0,6.35,9.03,2.47,75.5,52.2,0.03
한승지,1,0,0,0,0,0,0,0,0.0,4,4,6,4,1,0,0,1,0,1,0,0,0,,,,,,0.00
이창재,10,0,0,0,0,0,0,1,8.0,6,5,38,10,3,0,0,4,0,0,7,0,0,5.63,3.31,1.75,85.2,145.6,-0.01
