이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR
이우석,1,0,0,0,0,0,0,0,0.1,0,0,2,0,0,0,0,1,0,0,1,0,1,0.00,6.83,3.00,,,0.02
유원상,41,0,0,0,1,4,0,5,47.1,37,34,225,63,17,1,5,17,1,5,30,0,5,6.46,5.27,1.69,80.3,99.7,0.01
류재인,1,0,0,0,0,0,0,0,1.2,3,3,11,1,0,0,1,2,0,3,2,0,0,16.20,18.23,1.80,32.0,28.8,-0.06
임창민,8,0,0,0,0,1,3,0,7.0,6,5,33,8,4,0,2,2,1,0,9,0,0,6.43,5.40,1.43,80.7,98.1,-0.09
강윤구,69,0,0,0,7,5,1,17,54.2,41,37,243,54,10,1,10,26,0,1,65,0,4,6.09,5.32,1.46,85.2,98.9,-0.10
장현식,21,0,0,0,3,2,2,1,26.2,22,22,126,31,5,0,7,17,1,0,24,0,3,7.43,7.25,1.80,69.9,72.9,-0.21
노성호,20,0,0,4,1,2,0,0,32.2,29,26,158,35,7,1,6,29,1,1,36,0,7,7.16,6.68,1.96,72.5,78.8,-0.24
김진성,50,0,0,0,3,2,0,5,45.1,38,36,207,56,9,4,13,19,1,2,38,1,3,7.15,7.21,1.65,72.6,73.3,-0.25
윤강민,6,0,0,0,0,0,0,0,5.2,11,11,36,14,3,0,1,5,0,2,4,0,1,17.47,8.42,3.35,29.7,62.6,-0.28
루친스키,30,2,0,30,9,9,0,0,177.1,68,60,731,164,20,1,13,45,0,11,119,0,7,3.05,3.96,1.18,139.2,106.7,4.70
박진우,41,0,0,18,9,7,0,5,140.2,53,49,590,137,18,0,9,29,0,19,92,0,2,3.14,3.95,1.18,135.2,107.0,3.86
구창모,23,0,0,19,10,7,0,1,107.0,40,38,449,85,15,2,10,42,0,5,114,0,7,3.20,3.80,1.19,132.6,111.7,2.70
프리드릭,12,2,1,12,7,4,0,0,72.0,22,22,294,63,6,0,4,22,1,3,56,0,2,2.75,3.57,1.18,154.1,118.3,2.40
이재학,24,0,0,23,10,4,0,0,129.2,62,55,560,133,24,2,6,43,0,9,91,0,6,3.82,3.80,1.36,111.0,111.0,1.75
최성영,26,0,0,15,4,1,0,2,82.1,39,36,368,79,15,3,3,48,0,4,62,0,3,3.94,4.27,1.54,107.7,98.8,1.47
김정훈,44,0,0,0,0,2,0,7,51.1,23,21,215,49,11,0,5,16,0,4,32,0,3,3.68,4.59,1.27,115.1,92.1,0.64
배재환,62,0,0,0,3,5,0,20,54.1,26,22,247,49,9,0,3,31,2,7,61,1,2,3.64,3.86,1.47,116.3,109.5,0.63
강윤구,67,0,0,0,3,3,0,15,56.1,29,28,242,55,4,4,4,24,2,4,49,0,2,4.47,3.97,1.40,94.7,106.4,0.46
원종현,60,0,0,0,3,3,31,0,60.0,31,27,256,62,9,2,4,17,2,3,59,0,5,4.05,3.20,1.32,104.6,132.2,0.44
임창민,20,0,0,0,0,1,0,2,15.0,6,4,64,14,2,0,1,8,1,1,10,0,1,2.40,4.54,1.47,176.6,92.8,0.29
김영규,30,1,1,10,5,4,0,1,66.1,40,39,307,82,6,1,7,31,0,6,46,0,4,5.29,5.06,1.70,80.1,83.6,0.21
임정호,6,0,0,0,0,1,0,0,4.2,2,2,19,3,0,0,0,2,0,0,6,0,0,3.86,2.12,1.07,109.9,200.0,0.08
버틀러,13,0,0,13,3,6,0,0,73.2,46,39,326,78,18,1,6,28,1,2,49,0,4,4.76,4.31,1.44,88.9,98.0,0.07
김진성,42,0,0,0,1,2,0,5,42.0,25,20,178,39,10,1,6,15,1,2,35,1,6,4.29,4.74,1.29,98.9,89.6,0.05
장현식,53,0,0,0,5,4,0,9,54.2,31,28,246,58,7,1,9,23,0,4,49,0,6,4.61,5.23,1.48,91.9,81.2,0.05
